assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,expected_draft_year_source,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
,,,,ACC,2000,currentPlayer,1999,,,,,11,0,1,2,https://www.sports-reference.com/cfb/players/reggie-austin-1.html,,Reggie Austin,DB,,Wake Forest,2026-04-02T06:48:43.189Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/rashidi-barnes-1.html,,Rashidi Barnes,DB,,Colorado,2026-04-02T06:48:48.277Z,,season_totals,
,,,,SEC,2000,currentPlayer,1999,,,,,11,1,45,3,https://www.sports-reference.com/cfb/players/david-barrett-2.html,,David Barrett,DB,,Arkansas,2026-04-02T06:49:04.301Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/william-bartee-1.html,,William Bartee,DB,,Oklahoma,2026-04-02T06:49:09.202Z,,season_totals,
,,,,SEC,2000,currentPlayer,1999,,,,,11,0,33,1,https://www.sports-reference.com/cfb/players/robert-bean-1.html,,Robert Bean,DB,,Mississippi State,2026-04-02T06:49:14.322Z,,season_totals,
,,,,MAC,2000,currentPlayer,1999,,,,,12,1,20,4,https://www.sports-reference.com/cfb/players/rogers-beckett-1.html,,Rogers Beckett,DB,,Marshall,2026-04-02T06:49:19.370Z,,season_totals,
,,,,Big Ten,2000,currentPlayer,1999,,,,,10,0,12,1,https://www.sports-reference.com/cfb/players/gary-berry-1.html,,Gary Berry,DB,,Ohio State,2026-04-02T06:49:24.280Z,,season_totals,
,,,,Big Ten,2000,currentPlayer,1999,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/matt-bowen-1.html,,Matt Bowen,DB,,Iowa,2026-04-02T06:49:29.369Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,12,0,40,5,https://www.sports-reference.com/cfb/players/mike-brown-18.html,,Mike Brown,DB,,Nebraska,2026-04-02T06:52:54.708Z,,season_totals,
,AA,,,Big 12,2000,currentPlayer,1999,,,,,12,0,82,3,https://www.sports-reference.com/cfb/players/ralph-brown-2.html,,Ralph Brown,DB,,Nebraska,2026-04-02T06:53:07.512Z,,season_totals,
,AA,,,Big Ten,2000,currentPlayer,1999,,,,,11,0,3,0,https://www.sports-reference.com/cfb/players/tyrone-carter-1.html,,Tyrone Carter,DB,,Minnesota,2026-04-02T06:53:12.647Z,,season_totals,
,,,,Big East,2000,currentPlayer,1999,,,,,11,1,34,1,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,,Ike Charlton,DB,,Virginia Tech,2026-04-02T06:53:17.787Z,,season_totals,
,,,,WAC,2000,currentPlayer,1999,,,,,11,0,8,3,https://www.sports-reference.com/cfb/players/todd-franz-1.html,,Todd Franz,DB,,Tulsa,2026-04-02T06:53:45.547Z,,season_totals,
,,,,SEC,2000,currentPlayer,1999,,,,,10,0,28,3,https://www.sports-reference.com/cfb/players/dwayne-goodrich-1.html,,Dwayne Goodrich,DB,,Tennessee,2026-04-02T06:54:03.390Z,,season_totals,
,AA,,,SEC,2000,currentPlayer,1999,,,,,11,1,167,9,https://www.sports-reference.com/cfb/players/deon-grant-1.html,,Deon Grant,DB,,Tennessee,2026-04-02T06:54:08.452Z,,season_totals,
,,,,ACC,2000,currentPlayer,1999,,,,,12,0,0,5,https://www.sports-reference.com/cfb/players/lloyd-harrison-1.html,,Lloyd Harrison,DB,,North Carolina State,2026-04-02T06:54:26.135Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,11,0,49,5,https://www.sports-reference.com/cfb/players/ben-kelly-1.html,,Ben Kelly,DB,,Colorado,2026-04-02T06:56:09.345Z,,season_totals,
,,,,SEC,2000,currentPlayer,1999,,,,,11,0,97,3,https://www.sports-reference.com/cfb/players/kenoy-kennedy-1.html,,Kenoy Kennedy,DB,,Arkansas,2026-04-02T06:56:14.366Z,,season_totals,
,,,,Big Ten,2000,currentPlayer,1999,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/david-macklin-1.html,,David Macklin,DB,,Penn State,2026-04-02T06:56:27.142Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,11,0,3,1,https://www.sports-reference.com/cfb/players/anthony-malbrough-1.html,,Anthony Malbrough,WR/DB,,Texas Tech,2026-04-02T06:56:32.221Z,,season_totals,
,,,,Big Ten,2000,currentPlayer,1999,,,,,11,1,93,2,https://www.sports-reference.com/cfb/players/aric-morris-1.html,,Aric Morris,DB,,Michigan State,2026-04-02T06:56:37.266Z,,season_totals,
,,,,Big Ten,2000,currentPlayer,1999,,,,,11,0,54,4,https://www.sports-reference.com/cfb/players/bobby-myers-2.html,,Bobby Myers,DB,,Wisconsin,2026-04-02T06:56:50.199Z,,season_totals,
,AA,,,Pac-10,2000,currentPlayer,1999,,,,,11,4,280,9,https://www.sports-reference.com/cfb/players/deltha-oneal-1.html,,Deltha O'Neal,RB/DB,,California,2026-04-02T06:56:55.270Z,,season_totals,
,,,,MWC,2000,currentPlayer,1999,,,,,9,1,93,6,https://www.sports-reference.com/cfb/players/erik-olson-1.html,,Erik Olson,DB,,Colorado State,2026-04-02T06:57:00.244Z,,season_totals,
,,,,Big Ten,2000,currentPlayer,1999,,,,,12,0,64,5,https://www.sports-reference.com/cfb/players/ahmed-plummer-1.html,,Ahmed Plummer,DB,,Ohio State,2026-04-02T06:57:05.152Z,,season_totals,
,,,,Big East,2000,currentPlayer,1999,,,,,11,0,56,3,https://www.sports-reference.com/cfb/players/hank-poteat-1.html,,Hank Poteat,RB/DB,,Pitt,2026-04-02T06:57:10.343Z,,season_totals,
,,,,SEC,2000,currentPlayer,1999,,,,,6,1,83,2,https://www.sports-reference.com/cfb/players/mark-roman-1.html,,Mark Roman,DB,,LSU,2026-04-02T06:57:15.244Z,,season_totals,
,,,,ACC,2000,currentPlayer,1999,,,,,11,0,37,6,https://www.sports-reference.com/cfb/players/lewis-sanders-1.html,,Lewis Sanders,DB,,Maryland,2026-04-02T06:57:20.265Z,,season_totals,
,,,,ACC,2000,currentPlayer,1999,,,,,11,0,38,4,https://www.sports-reference.com/cfb/players/tony-scott-4.html,,Tony Scott,DB,,North Carolina State,2026-04-02T06:57:43.378Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,11,0,0,2,https://www.sports-reference.com/cfb/players/jacoby-shepherd-1.html,,Jacoby Shepherd,DB,,Oklahoma State,2026-04-02T06:57:48.459Z,,season_totals,
,,,,ACC,2000,currentPlayer,1999,,,,,9,0,9,1,https://www.sports-reference.com/cfb/players/travares-tillman-1.html,,Travares Tillman,DB,,Georgia Tech,2026-04-02T06:57:53.558Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,11,0,14,4,https://www.sports-reference.com/cfb/players/jason-webster-1.html,,Jason Webster,DB,,Texas A&M,2026-04-02T06:58:07.792Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,11,1,40,4,https://www.sports-reference.com/cfb/players/damen-wheeler-1.html,,Damen Wheeler,DB,,Colorado,2026-04-02T06:58:12.792Z,,season_totals,
,,JR,,Pac-10,2001,currentPlayer,2000,,,,,11,0,31,2,https://www.sports-reference.com/cfb/players/hakim-akbar-1.html,,Hakim Akbar,DB,,Washington,2026-04-02T06:58:46.465Z,,season_totals,
